City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Bambous Virieux,MU,24.140000000000047,-20.3428,57.7575,Casa Tia Villa
4,Novo Aripuanã,BR,26.120000000000005,-5.1206,-60.3797,Hotel Ezequiel
7,Jamestown,US,28.620000000000005,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Cayenne,GF,26.160000000000025,4.9333,-52.3333,Hôtel Le Dronmi
24,Fukuechō,JP,21.180000000000007,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
28,Sittwe,MM,28.570000000000054,20.15,92.9,Hotel Memory
30,Srīvardhan,IN,27.800000000000008,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
34,Alofi,NU,26.94,-19.0595,-169.9187,Taloa Heights
36,Vaini,TO,25.090000000000032,-21.2,-175.2,Keleti Beach Resort
39,Butaritari,KI,28.100000000000023,3.0707,172.7902,Isles Sunset Lodge
40,Faanui,PF,27.210000000000036,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
41,Vao,NC,21.170000000000016,-22.6667,167.4833,Hotel Kou-Bugny
42,Palāsa,IN,28.640000000000047,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
43,Rikitea,PF,24.870000000000005,-23.1203,-134.9692,Pension Maro'i
45,Cape Town,ZA,22.230000000000015,-33.9258,18.4232,Southern Sun Waterfront Cape Town
46,Miguel Alves,BR,25.220000000000034,-4.1656,-42.8953,PAIN POUSADA E RESTAURANTE
48,Merrill,US,29.68000000000001,45.1805,-89.6835,Prairie Motel
51,Hilo,US,26.850000000000023,19.7297,-155.09,Hilo Hawaiian Hotel
53,Fairbanks,US,21.19,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
56,Waingapu,ID,25.280000000000033,-9.6567,120.2641,Pondok Wisata Elim
59,Iquitos,PE,29.02000000000004,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
60,Avarua,CK,24.030000000000033,-21.2078,-159.775,Paradise Inn
61,Muroto-misakicho,JP,21.02000000000004,33.2833,134.15,Oota Ryokan
64,Zemio,CF,20.120000000000005,5.0314,25.1361,OCHA Office
66,Hithadhoo,MV,28.19,-0.6,73.0833,Scoop Guest House
72,Ixtapa,MX,30.129999999999995,20.7,-105.2,Hotel Plaza Providencia
73,Bengkulu,ID,23.100000000000023,-3.8004,102.2655,Grage Hotel Bengkulu
74,Atuona,PF,26.77000000000004,-9.8,-139.0333,Villa Enata
76,Touros,BR,24.5,-5.1989,-35.4608,INN NEW HORIZON
77,Puerto Ayora,EC,26.980000000000015,-0.7393,-90.3518,Finch Bay Galapagos Hotel
78,Porto Velho,BR,25.030000000000033,-8.7619,-63.9039,Hotel Central
80,Saint-Leu,RE,22.480000000000015,-21.15,55.2833,La Caz Oceane
82,Kavieng,PG,27.95000000000005,-2.5744,150.7967,Nusa Island Retreat
83,Sai Buri,TH,25.100000000000023,6.7013,101.6168,ร้าน​ เวดดิ้ง
85,Samarai,PG,25.93000000000001,-10.6167,150.6667,Nuli Sapi
87,Honiara,SB,29.02000000000004,-9.4333,159.95,Heritage Park Hotel
88,Boffa,GN,26.640000000000047,10.1667,-14.0333,Hôtel Niara Belly
89,Dawei,MM,25.170000000000016,14.0833,98.2,Hotel Dawei
91,Altamira,BR,25.69,-3.2033,-52.2064,Requinte Hotel
95,Mossamedes,AO,23.410000000000025,-15.1961,12.1522,Hotel Chik Chik Namibe
96,Hong Kong,HK,27.99000000000001,22.2855,114.1577,Mini Hotel Central
97,Miramar,US,30.570000000000054,25.9873,-80.2323,Miramar
98,Santo Domingo,DO,24.820000000000054,18.5001,-69.9886,Cabañas City Heart
101,Fortuna,US,21.77000000000004,40.5982,-124.1573,Super 8 by Wyndham Fortuna
104,Arraial do Cabo,BR,22.980000000000015,-22.9661,-42.0278,Pousada Porto Praia
105,Bouna,CI,22.99000000000001,9.2667,-3.0,Hotel Reserve
106,Sumenep,ID,25.94,-7.0167,113.8667,OYO 3271 Homestay Pandian
109,Mapastepec,MX,29.530000000000033,15.4333,-92.9,Hotel San Carlos
111,Yagoua,CM,29.75,10.3411,15.2329,Sahel Hotel
114,Makkah al Mukarramah,SA,29.75,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
121,Kapaa,US,28.18000000000001,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
123,Along,IN,22.070000000000054,28.1667,94.7667,Hotel West
126,Uttaradit,TH,21.920000000000016,17.6667,100.5,Seeharaj Hotel
129,Paphos,CY,20.95000000000005,34.7667,32.4167,Elysium Hotel
131,Wajir,KE,24.480000000000015,1.7471,40.0573,Al-bustan Hotel And Restaurant.
137,Meulaboh,ID,23.44,4.1363,96.1285,Kost Pria
144,Atambua,ID,22.140000000000047,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
148,Kita,ML,30.94,13.0349,-9.4895,Hôtel Chat Rouge
150,Araguari,BR,21.160000000000025,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
151,Jaisalmer,IN,30.02000000000004,26.9147,70.9181,Hotel Fifu
156,Bonthe,SL,26.68000000000001,7.5264,-12.505,Bonthe Holiday Village
157,Port-Gentil,GA,26.980000000000015,-0.7193,8.7815,Fengshui Residence
158,Nhulunbuy,AU,26.340000000000032,-12.2333,136.7667,East Arnhem Real Estate
163,Inírida,CO,24.0,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
165,Port Hedland,AU,22.030000000000033,-20.3167,118.5667,The Esplanade Hotel
166,Katsuura,JP,22.330000000000037,35.1333,140.3,Katsuura Hotel Mikazuki
