City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
54,Boguchany,58.3814,97.4531,10.75,96,98,5.17,RU,2021-06-06 22:36:36
55,Bluff,-46.6,168.3333,9.890000000000043,80,61,3.72,NZ,2021-06-06 22:36:38
56,Waingapu,-9.6567,120.2641,25.28000000000003,83,42,2.94,ID,2021-06-06 22:36:40
57,Provideniya,64.3833,-173.3,7.060000000000002,61,75,3.0,RU,2021-06-06 22:36:41
58,Nikolskoye,59.7035,30.7861,15.939999999999998,83,70,1.63,RU,2021-06-06 22:36:43
59,Iquitos,-3.7481,-73.2472,29.02000000000004,74,20,1.54,PE,2021-06-06 22:36:45
60,Avarua,-21.2078,-159.775,24.03000000000003,60,75,2.57,CK,2021-06-06 22:35:15
61,Muroto-misakicho,33.2833,134.15,21.02000000000004,64,100,0.98,JP,2021-06-06 22:33:35
62,Andenes,69.3143,16.1194,13.04000000000002,76,90,1.54,NO,2021-06-06 22:36:50
63,Klaksvík,62.2266,-6.589,10.510000000000048,99,100,6.96,FO,2021-06-06 22:36:52
64,Zemio,5.0314,25.1361,20.120000000000005,88,100,1.34,CF,2021-06-06 22:36:53
65,Dera Ghazi Khan,30.0561,70.6348,36.10000000000002,26,0,4.0,PK,2021-06-06 22:36:55
66,Hithadhoo,-0.6,73.0833,28.189999999999998,73,11,5.52,MV,2021-06-06 22:34:11
67,Narsaq,60.9167,-46.05,13.120000000000005,66,100,1.52,GL,2021-06-06 22:34:09
68,Mehamn,71.0357,27.8492,4.300000000000011,69,5,0.87,NO,2021-06-06 22:37:00
69,Örnsköldsvik,63.2909,18.7153,15.900000000000034,82,20,1.31,SE,2021-06-06 22:37:03
70,Torbay,47.6666,-52.7314,7.930000000000007,87,75,8.75,CA,2021-06-06 22:35:29
71,Bredasdorp,-34.5322,20.0403,13.490000000000009,47,4,2.96,ZA,2021-06-06 22:37:07
72,Ixtapa,20.7,-105.2,30.129999999999995,70,40,5.14,MX,2021-06-06 22:37:09
73,Bengkulu,-3.8004,102.2655,23.100000000000023,89,25,1.66,ID,2021-06-06 22:37:10
74,Atuona,-9.8,-139.0333,26.77000000000004,62,61,3.01,PF,2021-06-06 22:32:46
75,Bondo,3.8146,23.6866,19.74000000000001,99,91,0.16,CD,2021-06-06 22:37:14
76,Touros,-5.1989,-35.4608,24.5,86,12,5.74,BR,2021-06-06 22:35:45
77,Puerto Ayora,-0.7393,-90.3518,26.980000000000018,90,38,1.34,EC,2021-06-06 22:34:33
78,Porto Velho,-8.7619,-63.9039,25.03000000000003,94,20,1.54,BR,2021-06-06 22:37:19
79,Turukhansk,65.8167,87.9833,1.0300000000000296,80,74,3.19,RU,2021-06-06 22:37:21
80,Saint-Leu,-21.15,55.2833,22.480000000000018,83,64,7.38,RE,2021-06-06 22:37:23
81,Qaanaaq,77.484,-69.3632,4.650000000000034,76,59,2.41,GL,2021-06-06 22:34:57
82,Kavieng,-2.5744,150.7967,27.950000000000045,75,56,2.72,PG,2021-06-06 22:37:27
83,Sai Buri,6.7013,101.6168,25.100000000000023,87,100,1.96,TH,2021-06-06 22:37:28
84,Tokur,53.1333,132.9,14.550000000000011,58,98,1.51,RU,2021-06-06 22:37:30
85,Samarai,-10.6167,150.6667,25.930000000000007,88,99,6.88,PG,2021-06-06 22:37:32
